     MetID    Y  M  D      TAM      NNM      UUM      FFM       RR
    888008 2009  1  1     -4.1      2.7     70.6      2.0      0.6
    888008 2009  1  2     -3.2      5.0     79.1      4.0      0.0
    888008 2009  1  3     -0.6      5.2     80.1      3.5      3.2
    888008 2009  1  4     -5.8      1.4     73.2      3.1      0.0
    888008 2009  1  5     -7.7      4.7     79.2      2.6      0.0
    888008 2009  1  6     -0.8      6.6     77.7      5.4      6.0
    888008 2009  1  7     -4.5      4.1     68.9      2.9      8.5
    888008 2009  1  8     -0.1      7.3     90.1      4.8      7.7
    888008 2009  1  9      3.9      6.2     87.3      4.4     30.6
    888008 2009  1 10      3.8      6.1     62.4      5.3      6.2
    888008 2009  1 11      4.2      7.6     83.7      4.2     13.9
    888008 2009  1 12      5.2      7.2     85.2      3.9     79.0
    888008 2009  1 13      3.0      6.0     77.8      5.6     35.2
    888008 2009  1 14      0.0      3.4     75.1      3.4     18.4
    888008 2009  1 15     -2.4      2.3     63.8      5.4      0.0
    888008 2009  1 16      0.5      7.3     57.3      7.0      0.0
    888008 2009  1 17      1.8      7.4     54.1      7.7      0.0
    888008 2009  1 18      0.9      7.3     56.8      7.8      0.1
    888008 2009  1 19      1.6      5.2     56.5      5.9      0.1
    888008 2009  1 20      0.7      7.5     69.2      4.8      0.0
    888008 2009  1 21      0.6      7.1     86.1      3.6      8.0
    888008 2009  1 22      1.9      5.0     64.1      5.6     20.9
    888008 2009  1 23      1.8      7.5     58.2      6.4      0.0
    888008 2009  1 24      1.7      7.5     60.7      6.0      0.6
    888008 2009  1 25     -0.0      4.4     71.1      4.5      0.1
    888008 2009  1 26     -1.1      5.3     67.0      3.9      0.0
    888008 2009  1 27     -2.7      6.4     73.7      3.2      0.0
    888008 2009  1 28     -0.4      7.1     81.2      3.0      0.0
    888008 2009  1 29     -0.2      6.0     85.6      3.4      0.1
    888008 2009  1 30     -1.6      2.9     76.8      4.1      0.0
    888008 2009  1 31     -1.5      1.9     70.6      3.8      0.0
    888008 2009  2  1     -3.0      4.8     77.8      2.0      0.1
    888008 2009  2  2     -2.4      1.7     74.1      3.7      0.0
    888008 2009  2  3     -3.4      3.9     62.4      3.3      0.0
    888008 2009  2  4     -4.0      7.7     83.2      2.5      0.0
    888008 2009  2  5     -3.1      6.5     87.2      2.3     11.0
    888008 2009  2  6     -3.3      7.4     82.4      3.2      2.3
    888008 2009  2  7     -4.0      4.9     80.6      2.6      0.0
    888008 2009  2  8     -7.3      3.3     73.9      2.6      0.0
    888008 2009  2  9     -4.8      5.5     84.9      2.4      5.9
    888008 2009  2 10     -5.5      2.7     75.5      2.5      0.7
    888008 2009  2 11     -6.2      4.1     74.5      3.1      0.0
    888008 2009  2 12     -4.8      5.3     82.0      2.6      0.5
    888008 2009  2 13     -5.8      2.8     79.5      1.9      0.2
    888008 2009  2 14     -6.1      5.8     79.5      2.5      0.0
    888008 2009  2 15     -3.4      7.5     90.3      2.7     22.5
    888008 2009  2 16     -1.4      7.6     87.8      2.9      5.6
    888008 2009  2 17     -1.6      7.6     87.4      2.9      4.5
    888008 2009  2 18     -0.8      7.5     90.2      2.1      7.6
    888008 2009  2 19     -0.2      7.7     92.7      1.6      3.3
    888008 2009  2 20      0.9      7.5     86.0      2.6      3.0
    888008 2009  2 21     -0.6      7.9     93.4      2.8      2.8
    888008 2009  2 22      2.0      7.4     88.9      4.2     39.2
    888008 2009  2 23      2.0      5.7     78.5      3.8      3.0
    888008 2009  2 24     -0.1      7.3     90.0      2.6      1.3
    888008 2009  2 25      0.7      7.3     90.1      2.5      4.3
    888008 2009  2 26      0.2      5.4     85.3      1.9      6.4
    888008 2009  2 27     -1.4      4.1     69.4      3.7      0.1
    888008 2009  2 28     -3.9      7.0     72.2      4.1      0.2
    888008 2009  3  1     -2.9      7.9     87.1      3.0     22.8
    888008 2009  3  2     -1.0      7.2     85.9      2.3      2.5
    888008 2009  3  3      0.5      5.9     70.3      3.3      3.5
    888008 2009  3  4      3.1      7.3     55.1      6.5      0.2
    888008 2009  3  5      1.8      6.3     54.4      6.1      0.0
    888008 2009  3  6      1.4      7.7     69.6      4.6      0.0
    888008 2009  3  7      0.4      7.3     68.3      5.0      6.9
    888008 2009  3  8      0.2      6.5     71.2      5.0      5.8
    888008 2009  3  9      1.2      7.2     65.7      3.5      0.3
    888008 2009  3 10      0.2      6.3     79.4      2.4      3.7
    888008 2009  3 11     -0.1      4.4     75.1      2.9      0.5
    888008 2009  3 12     -1.4      7.6     85.4      3.6      5.6
    888008 2009  3 13      0.2      6.8     87.1      3.3     11.6
    888008 2009  3 14      0.9      4.9     74.5      3.1      0.2
    888008 2009  3 15     -0.2      6.4     73.5      2.5      0.1
    888008 2009  3 16      0.1      7.3     89.1      2.5     10.7
    888008 2009  3 17      0.1      6.0     75.8      5.5     23.4
    888008 2009  3 18      1.6      6.1     77.7      4.2     22.9
    888008 2009  3 19     -0.5      2.6     73.1      2.0      0.0
    888008 2009  3 20     -1.7      4.8     75.0      2.4      0.0
    888008 2009  3 21     -1.3      6.5     78.2      1.9      0.0
    888008 2009  3 22     -0.7      6.8     83.3      3.9      0.1
    888008 2009  3 23     -1.5      4.4     67.9      2.9     14.3
    888008 2009  3 24     -2.0      3.5     52.1      2.6      0.0
    888008 2009  3 25     -2.1      5.1     54.6      2.7      0.0
    888008 2009  3 26     -1.3      6.0     55.4      6.3      0.0
    888008 2009  3 27     -1.6      7.0     51.0      5.5      0.0
    888008 2009  3 28     -1.2      6.2     61.7      2.7      0.0
    888008 2009  3 29     -1.8      5.7     65.3      3.0      1.2
    888008 2009  3 30     -1.1      7.1     81.1      5.4      0.5
    888008 2009  3 31     -0.5      6.7     84.0      4.1     30.2
    888008 2009  4  1     -0.8      5.3     78.6      2.3     12.1
    888008 2009  4  2      0.1      7.0     85.2      2.4      0.2
    888008 2009  4  3      2.0      4.8     80.7      1.8      0.1
    888008 2009  4  4      2.5      3.2     74.6      2.6      0.0
    888008 2009  4  5      1.9      6.8     77.8      3.4      0.7
    888008 2009  4  6      0.6      5.8     85.3      2.4     12.2
    888008 2009  4  7      2.0      6.8     75.0      4.7      4.0
    888008 2009  4  8      3.6      6.4     69.5      4.2      2.2
    888008 2009  4  9      3.3      6.7     71.7      2.4      0.0
    888008 2009  4 10      3.1      7.1     82.0      2.9      5.1
    888008 2009  4 11      5.7      6.2     66.5      3.9      0.1
    888008 2009  4 12      2.0      6.8     84.2      3.0     11.1
    888008 2009  4 13      2.4      2.8     72.4      2.1      2.6
    888008 2009  4 14      4.0      3.4     63.9      2.0      0.0
    888008 2009  4 15      5.6      4.3     64.1      1.8      0.0
    888008 2009  4 16      3.1      6.6     84.8      1.5      1.1
    888008 2009  4 17      3.4      3.7     70.2      2.4      7.5
    888008 2009  4 18      4.0      2.4     63.1      1.8      0.0
    888008 2009  4 19      4.6      4.3     69.3      2.5      0.0
    888008 2009  4 20      3.5      6.9     67.9      3.1      0.0
    888008 2009  4 21      4.3      4.7     66.1      1.9      0.0
    888008 2009  4 22      3.5      5.1     78.9      2.1      6.7
    888008 2009  4 23      5.4      4.4     63.4      2.8      0.0
    888008 2009  4 24      6.6      6.5     57.9      2.2      0.1
    888008 2009  4 25      6.5      4.0     54.9      2.3      0.0
    888008 2009  4 26      7.1      5.7     59.0      2.1      0.0
    888008 2009  4 27      4.6      5.7     80.0      2.7      0.6
    888008 2009  4 28      5.3      5.5     83.0      2.3      9.7
    888008 2009  4 29      7.1      5.4     70.9      4.6      0.0
    888008 2009  4 30      8.9      4.5     63.8      4.5      0.0
    888008 2009  5  1      9.9      4.7     60.5      2.6      0.0
    888008 2009  5  2      6.1      6.2     72.0      2.9      2.2
    888008 2009  5  3      4.2      5.8     67.3      2.7      0.3
    888008 2009  5  4      3.2      5.6     69.4      3.5      0.5
    888008 2009  5  5      1.8      6.3     80.0      3.6      5.0
    888008 2009  5  6      2.0      6.0     74.6      2.8     20.2
    888008 2009  5  7      2.5      6.5     73.3      3.7      5.1
    888008 2009  5  8      4.0      6.8     67.3      4.6      7.2
    888008 2009  5  9      2.9      6.2     74.9      3.0     32.8
    888008 2009  5 10      1.9      7.0     78.0      3.2     25.3
    888008 2009  5 11      3.0      4.6     59.9      3.5      0.1
    888008 2009  5 12      4.8      4.4     67.2      2.9      0.0
    888008 2009  5 13      7.0      3.9     54.1      1.7      0.0
    888008 2009  5 14      6.9      3.8     54.8      2.7      0.0
    888008 2009  5 15      8.6      1.2     43.6      2.8      0.0
    888008 2009  5 16      9.8      3.4     46.3      5.0      0.0
    888008 2009  5 17      9.2      5.3     46.3      4.7      0.0
    888008 2009  5 18      6.8      7.2     66.4      4.5      1.8
    888008 2009  5 19      6.3      6.8     77.8      2.0      0.6
    888008 2009  5 20      7.2      6.6     72.7      2.0      0.4
    888008 2009  5 21      7.1      6.1     72.1      2.2      2.6
    888008 2009  5 22      7.6      6.7     73.7      3.0      0.0
    888008 2009  5 23      8.0      5.2     69.4      3.1      0.0
    888008 2009  5 24      7.7      6.7     75.0      2.5      0.2
    888008 2009  5 25      7.3      6.1     71.1      2.1      0.0
    888008 2009  5 26      4.9      7.9     90.3      1.9      5.1
    888008 2009  5 27      3.2      6.9     80.3      4.4     36.9
    888008 2009  5 28      5.2      5.9     71.9      4.1     29.5
    888008 2009  5 29      6.9      5.5     72.9      1.6      0.0
    888008 2009  5 30     10.5      0.6     62.5      3.5      0.0
